LocationAbbr,LocationDesc,Year,Intervention Area,Funding Type1,Funding Type2,Amount,Data_Value_Unit,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,DisplayOrder
US,United States,2007,State and Community Interventions,Per Capita,Recommended,4.88,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IA,Iowa,2007,Cessation Interventions,Total (Millions),Recommended,11.1,$,"IA
(42.469400913, -93.816490556)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
TX,Texas,2007,Total Recommended Program Costs,Total (Millions),Lower,189.4,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
CA,California,2007,State and Community Interventions,Total (Millions),Upper,234.8,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
FL,Florida,2007,Total Recommended Program Costs,Per Capita,Lower,8.25,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
NM,New Mexico,2007,State and Community Interventions,Total (Millions),Recommended,10.9,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
WA,Washington,2007,Cessation Interventions,Total (Millions),Lower,12.3,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
RI,Rhode Island,2007,Surveillance and Evaluation,Total (Millions),Lower,0.9,$,"RI
(41.708280193, -71.522470314)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
OK,Oklahoma,2007,Surveillance and Evaluation,Total (Millions),Lower,2.8,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NH,New Hampshire,2007,Health Communication Interventions,Per Capita,Upper,3.9,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NC,North Carolina,2007,State and Community Interventions,Total (Millions),Lower,33.8,$,"NC
(35.466220975, -79.159250463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MS,Mississippi,2007,Total Recommended Program Costs,Total (Millions),Upper,59.4,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
TX,Texas,2007,Total Recommended Program Costs,Per Capita,Lower,8.06,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MN,Minnesota,2007,Administration and Management,Per Capita,Upper,0.77,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
OH,Ohio,2007,Administration and Management,Per Capita,Lower,0.37,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
VA,Virginia,2007,Cessation Interventions,Per Capita,Recommended,3.47,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
US,United States,2007,Surveillance and Evaluation,Total (Millions),Recommended,321.4,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
HI,Hawaii,2007,Surveillance and Evaluation,Per Capita,Lower,0.84,$,"HI
(21.304850435, -157.857749403)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
KY,Kentucky,2007,Surveillance and Evaluation,Per Capita,Lower,0.79,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
OK,Oklahoma,2007,Cessation Interventions,Total (Millions),Recommended,15,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
SC,South Carolina,2007,Total Recommended Program Costs,Total (Millions),Lower,37.7,$,"SC
(33.998821303, -81.045371207)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
OH,Ohio,2007,Surveillance and Evaluation,Total (Millions),Recommended,12.6,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
SC,South Carolina,2007,Total Recommended Program Costs,Total (Millions),Recommended,62.2,$,"SC
(33.998821303, -81.045371207)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
SD,South Dakota,2007,Health Communication Interventions,Per Capita,Recommended,1.97,$,"SD
(44.353130053, -100.373530637)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
VT,Vermont,2007,State and Community Interventions,Per Capita,Lower,6.71,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
NJ,New Jersey,2007,Cessation Interventions,Per Capita,Upper,4.84,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
TN,Tennessee,2007,Administration and Management,Per Capita,Lower,0.37,$,"TN
(35.68094058, -85.774490914)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
VA,Virginia,2007,Total Recommended Program Costs,Per Capita,Recommended,13.5,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
IN,Indiana,2007,Total Recommended Program Costs,Total (Millions),Upper,121.2,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
CT,Connecticut,2007,Surveillance and Evaluation,Total (Millions),Upper,5.5,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
UT,Utah,2007,Total Recommended Program Costs,Total (Millions),Lower,21.1,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
NY,New York,2007,Total Recommended Program Costs,Per Capita,Lower,8.03,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
WA,Washington,2007,Cessation Interventions,Per Capita,Lower,1.92,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
IN,Indiana,2007,Cessation Interventions,Total (Millions),Recommended,25.4,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
ND,North Dakota,2007,Health Communication Interventions,Total (Millions),Recommended,1.2,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
IL,Illinois,2007,Total Recommended Program Costs,Per Capita,Recommended,12.23,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MS,Mississippi,2007,Health Communication Interventions,Total (Millions),Upper,11.4,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
CA,California,2007,Surveillance and Evaluation,Total (Millions),Lower,24.9,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
WI,Wisconsin,2007,State and Community Interventions,Total (Millions),Lower,22.3,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
AZ,Arizona,2007,Surveillance and Evaluation,Per Capita,Recommended,0.96,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
OH,Ohio,2007,Health Communication Interventions,Total (Millions),Upper,44.8,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
IA,Iowa,2007,State and Community Interventions,Total (Millions),Lower,12.8,$,"IA
(42.469400913, -93.816490556)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
RI,Rhode Island,2007,Health Communication Interventions,Total (Millions),Upper,4.2,$,"RI
(41.708280193, -71.522470314)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
ME,Maine,2007,Cessation Interventions,Total (Millions),Lower,2.9,$,"ME
(45.254228894001, -68.985031336)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
MO,Missouri,2007,State and Community Interventions,Total (Millions),Upper,39.3,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
OH,Ohio,2007,Administration and Management,Total (Millions),Upper,9.3,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
WV,West Virginia,2007,Administration and Management,Total (Millions),Upper,1.7,$,"WV
(38.665510202, -80.712640135)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
IL,Illinois,2007,Administration and Management,Total (Millions),Upper,10.1,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
CT,Connecticut,2007,Administration and Management,Per Capita,Recommended,0.55,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
IN,Indiana,2007,State and Community Interventions,Per Capita,Upper,6.71,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
NC,North Carolina,2007,Administration and Management,Per Capita,Upper,0.81,$,"NC
(35.466220975, -79.159250463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
DC,District of Columbia,2007,State and Community Interventions,Per Capita,Lower,6.92,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IL,Illinois,2007,Total Recommended Program Costs,Total (Millions),Upper,232.4,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
NJ,New Jersey,2007,Administration and Management,Per Capita,Lower,0.36,$,"NJ
(40.130570048, -74.273691288)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
NE,Nebraska,2007,Surveillance and Evaluation,Per Capita,Recommended,1.06,$,"NE
(41.641040988001, -99.365720623)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MS,Mississippi,2007,Surveillance and Evaluation,Per Capita,Recommended,1.17,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
WY,Wyoming,2007,Cessation Interventions,Total (Millions),Upper,2.9,$,"WY
(43.235541343, -108.109830353)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
OR,Oregon,2007,Cessation Interventions,Total (Millions),Lower,7.5,$,"OR
(44.567449424, -120.155031326)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
CT,Connecticut,2007,Cessation Interventions,Total (Millions),Lower,6.8,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
WI,Wisconsin,2007,Health Communication Interventions,Per Capita,Upper,3.9,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
KY,Kentucky,2007,State and Community Interventions,Per Capita,Upper,6.91,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
GA,Georgia,2007,Total Recommended Program Costs,Per Capita,Lower,8.26,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
CT,Connecticut,2007,State and Community Interventions,Per Capita,Recommended,5.09,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
IN,Indiana,2007,Health Communication Interventions,Per Capita,Upper,3.9,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
OK,Oklahoma,2007,Cessation Interventions,Total (Millions),Upper,23.1,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
OK,Oklahoma,2007,Administration and Management,Per Capita,Recommended,0.55,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
DC,District of Columbia,2007,Cessation Interventions,Total (Millions),Upper,3.1,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
US,United States,2007,Surveillance and Evaluation,Per Capita,Upper,1.59,$,,Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MI,Michigan,2007,Surveillance and Evaluation,Per Capita,Lower,0.74,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MA,Massachusetts,2007,Surveillance and Evaluation,Total (Millions),Lower,4.6,$,"MA
(42.27687047, -72.082690675)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MS,Mississippi,2007,Cessation Interventions,Per Capita,Lower,2.29,$,"MS
(32.745510099, -89.538030825)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
OK,Oklahoma,2007,Health Communication Interventions,Per Capita,Recommended,1.34,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
TN,Tennessee,2007,State and Community Interventions,Total (Millions),Recommended,28.2,$,"TN
(35.68094058, -85.774490914)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MO,Missouri,2007,Total Recommended Program Costs,Per Capita,Upper,19.06,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
AL,Alabama,2007,Cessation Interventions,Total (Millions),Lower,10.3,$,"AL
(32.840571122, -86.631860762)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
DC,District of Columbia,2007,Surveillance and Evaluation,Total (Millions),Recommended,0.9,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MN,Minnesota,2007,Total Recommended Program Costs,Per Capita,Upper,17.81,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
VT,Vermont,2007,Total Recommended Program Costs,Total (Millions),Recommended,10.4,$,"VT
(43.625381239, -72.517640791)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
DC,District of Columbia,2007,State and Community Interventions,Total (Millions),Lower,4,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
VA,Virginia,2007,Administration and Management,Per Capita,Lower,0.36,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
TN,Tennessee,2007,Cessation Interventions,Total (Millions),Upper,36.2,$,"TN
(35.68094058, -85.774490914)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
AR,Arkansas,2007,State and Community Interventions,Per Capita,Recommended,5.43,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
LA,Louisiana,2007,Cessation Interventions,Per Capita,Lower,2.22,$,"LA
(31.312660644, -92.445680071)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
NH,New Hampshire,2007,Administration and Management,Per Capita,Recommended,0.63,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
MI,Michigan,2007,Health Communication Interventions,Total (Millions),Lower,13.1,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
TX,Texas,2007,Total Recommended Program Costs,Per Capita,Upper,17.48,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MA,Massachusetts,2007,Surveillance and Evaluation,Total (Millions),Upper,10,$,"MA
(42.27687047, -72.082690675)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
WI,Wisconsin,2007,Health Communication Interventions,Per Capita,Lower,1.3,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NH,New Hampshire,2007,Cessation Interventions,Total (Millions),Recommended,4.5,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
MD,Maryland,2007,Surveillance and Evaluation,Total (Millions),Lower,4.1,$,"MD
(39.290580964, -76.609260111)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NC,North Carolina,2007,State and Community Interventions,Per Capita,Upper,6.5,$,"NC
(35.466220975, -79.159250463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MI,Michigan,2007,Total Recommended Program Costs,Total (Millions),Recommended,121.2,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MN,Minnesota,2007,Surveillance and Evaluation,Per Capita,Recommended,0.98,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
ME,Maine,2007,Surveillance and Evaluation,Total (Millions),Upper,2.4,$,"ME
(45.254228894001, -68.985031336)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
CA,California,2007,Cessation Interventions,Total (Millions),Upper,153.8,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
SD,South Dakota,2007,State and Community Interventions,Total (Millions),Upper,7.7,$,"SD
(44.353130053, -100.373530637)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
MO,Missouri,2007,Total Recommended Program Costs,Total (Millions),Recommended,73.2,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
TX,Texas,2007,Cessation Interventions,Per Capita,Lower,1.87,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
VA,Virginia,2007,Health Communication Interventions,Total (Millions),Lower,9.9,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
WI,Wisconsin,2007,Surveillance and Evaluation,Total (Millions),Recommended,5.6,$,"WI
(44.393191174, -89.816370742)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
DE,Delaware,2007,Surveillance and Evaluation,Per Capita,Upper,1.92,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MT,Montana,2007,Cessation Interventions,Total (Millions),Recommended,3.3,$,"MT
(47.066528972, -109.424420645)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
NY,New York,2007,Cessation Interventions,Per Capita,Upper,5.07,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
UT,Utah,2007,State and Community Interventions,Per Capita,Lower,4.55,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
AR,Arkansas,2007,Administration and Management,Total (Millions),Upper,2.4,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
OK,Oklahoma,2007,Administration and Management,Per Capita,Lower,0.39,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
CT,Connecticut,2007,Total Recommended Program Costs,Per Capita,Lower,8.61,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
MA,Massachusetts,2007,State and Community Interventions,Total (Millions),Lower,25.2,$,"MA
(42.27687047, -72.082690675)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
WV,West Virginia,2007,Surveillance and Evaluation,Total (Millions),Recommended,2.4,$,"WV
(38.665510202, -80.712640135)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NY,New York,2007,Surveillance and Evaluation,Per Capita,Upper,1.53,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
IL,Illinois,2007,Cessation Interventions,Total (Millions),Upper,68.4,$,"IL
(40.485010283, -88.997710178)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
WA,Washington,2007,Health Communication Interventions,Per Capita,Recommended,1.44,$,"WA
(47.522278629, -120.47001079)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
AL,Alabama,2007,Cessation Interventions,Per Capita,Lower,2.24,$,"AL
(32.840571122, -86.631860762)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
NH,New Hampshire,2007,Total Recommended Program Costs,Total (Millions),Lower,12.8,$,"NH
(43.655950113, -71.50036092)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
WV,West Virginia,2007,Health Communication Interventions,Total (Millions),Upper,7.1,$,"WV
(38.665510202, -80.712640135)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NY,New York,2007,Cessation Interventions,Total (Millions),Lower,38.5,$,"NY
(42.827001032, -75.543970427)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
DE,Delaware,2007,State and Community Interventions,Total (Millions),Upper,8.2,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
